lançamentos;;dados com 250cm;;;o que cada um ficou responsavel;;;;;;posição da catapulta;
1;96;346;;;Ex. lançamento;Marcos Vinícius e Maria Eduarda;;;;;O-;1
2;89;339;;;Medição;Igor e Lucas;;;;;A+;2
3;89;339;;;Coleta;Wadmilson;;;;;B-;100
4;82,5;332,5;;;Fotos;João Pedro;;;;;A-;4
5;43,5;293,5;;;Altura da mesa;78 centímentros;;;;;;
6;118,5;368,5;;;;;;;;;;
7;115;365;;;;;;;;;;
8;91;341;;;;;;;;;;
9;79;329;;;;;;;;;;
10;89;339;;;;;;;;;;
11;73;323;;;;;;;;;;
12;85;335;;;;;;;;;;
13;119;369;;;;;;;;;;
14;97,5;347,5;;;;;;;;;;
15;102;352;;;;;;;;;;
16;90;340;;;;;;;;;;
17;88;338;;;;;;;;;;
18;100;350;;;;;;;;;;
19;91;341;;;;;;;;;;
20;86,5;336,5;;;;;;;;;;
21;70;320;;;;;;;;;;
22;91;341;;;;;;;;;;
23;80;330;;;;;;;;;;
24;78;328;;;;;;;;;;
25;86,5;336,5;;;;;;;;;;
26;68;318;;;;;;;;;;
27;25;275;;;;;;;;;;
28;79;329;;;;;;;;;;
29;107;357;;;;;;;;;;
30;67;317;;;;;;;;;;
31;52,5;302,5;;;;;;;;;;
32;81;331;;;;;;;;;;
33;109;359;;;;;;;;;;
34;83;333;;;;;;;;;;
35;74;324;;;;;;;;;;
36;84;334;;;;;;;;;;
37;89;339;;;;;;;;;;
38;82,5;332,5;;;;;;;;;;
39;81;331;;;;;;;;;;
40;70;320;;;;;;;;;;
